Hull Hydrostatics:,
141
1.90E+00,0.00E+00,1.90E+00,1.90E+00,3.11E+03,3.19E+06,1.03E+04,6.14E+01,0.00E+00,9.98E-01,1.67E+03,6.19E+01,7.56E+06,1.16E+06,4.31E+04,3.72E+02,1.38E+01,3.73E+02,1.48E+01,1.71E+01,9.32E+04
2.00E+00,0.00E+00,2.00E+00,2.00E+00,3.30E+03,3.38E+06,1.03E+04,6.13E+01,0.00E+00,1.05E+00,1.69E+03,6.21E+01,7.67E+06,1.17E+06,4.41E+04,3.56E+02,1.34E+01,3.57E+02,1.44E+01,1.73E+01,9.45E+04
2.10E+00,0.00E+00,2.10E+00,2.10E+00,3.48E+03,3.56E+06,1.03E+04,6.13E+01,0.00E+00,1.10E+00,1.70E+03,6.23E+01,7.76E+06,1.18E+06,4.49E+04,3.40E+02,1.29E+01,3.41E+02,1.40E+01,1.74E+01,9.53E+04
2.20E+00,0.00E+00,2.20E+00,2.20E+00,3.66E+03,3.75E+06,1.04E+04,6.13E+01,0.00E+00,1.15E+00,1.73E+03,6.16E+01,7.79E+06,1.23E+06,4.70E+04,3.36E+02,1.28E+01,3.37E+02,1.40E+01,1.77E+01,9.90E+04
2.30E+00,0.00E+00,2.30E+00,2.30E+00,3.85E+03,3.94E+06,1.04E+04,6.13E+01,0.00E+00,1.21E+00,1.73E+03,6.15E+01,7.79E+06,1.24E+06,4.71E+04,3.21E+02,1.22E+01,3.22E+02,1.34E+01,1.78E+01,9.95E+04
2.40E+00,0.00E+00,2.40E+00,2.40E+00,4.04E+03,4.13E+06,1.04E+04,6.13E+01,0.00E+00,1.26E+00,1.74E+03,6.15E+01,7.83E+06,1.25E+06,4.74E+04,3.09E+02,1.18E+01,3.10E+02,1.30E+01,1.78E+01,1.00E+05
2.50E+00,0.00E+00,2.50E+00,2.50E+00,4.22E+03,4.32E+06,1.04E+04,6.13E+01,0.00E+00,1.31E+00,1.75E+03,6.17E+01,7.93E+06,1.27E+06,4.78E+04,3.00E+02,1.13E+01,3.01E+02,1.26E+01,1.79E+01,1.02E+05
2.60E+00,0.00E+00,2.60E+00,2.60E+00,4.41E+03,4.52E+06,1.05E+04,6.13E+01,0.00E+00,1.36E+00,1.76E+03,6.17E+01,7.95E+06,1.28E+06,4.79E+04,2.90E+02,1.09E+01,2.91E+02,1.22E+01,1.80E+01,1.03E+05
2.70E+00,0.00E+00,2.70E+00,2.70E+00,4.60E+03,4.71E+06,1.05E+04,6.13E+01,0.00E+00,1.41E+00,1.77E+03,6.17E+01,8.00E+06,1.30E+06,4.82E+04,2.82E+02,1.05E+01,2.83E+02,1.19E+01,1.81E+01,1.04E+05
2.80E+00,0.00E+00,2.80E+00,2.80E+00,4.79E+03,4.90E+06,1.05E+04,6.13E+01,0.00E+00,1.46E+00,1.86E+03,6.01E+01,8.10E+06,1.39E+06,5.60E+04,2.91E+02,1.17E+01,2.92E+02,1.32E+01,1.90E+01,1.12E+05
